date,Artibonite,Centre,Grande Anse,Nippes,Nord,Nord-Est,Nord-Ouest,Ouest,Sud,Sud-Est
2010-10-23,6234,507,0,0,17,0,2,540,0,0
2010-10-30,7603,1245,0,0,145,0,518,1938,0,4
2010-11-6,4835,811,0,1,437,0,819,713,0,2
2010-11-13,8589,1247,0,0,1400,6,2243,3312,11,1
2010-11-20,7097,1750,25,10,2830,82,2592,7000,44,9
2010-11-27,5025,1460,143,24,4134,134,2241,5383,123,26
2010-12-4,3763,1442,668,37,3161,350,2005,5674,261,55
2010-12-11,2451,1385,1553,96,3037,470,1634,6733,533,494
2010-12-18,2429,1861,2703,251,3304,1445,1604,9777,1475,215
2010-12-25,2583,2106,2464,278,2633,1321,1117,9088,861,201
2011-1-1,1963,1390,1812,300,1733,966,906,7019,839,253
2011-1-8,1832,982,1184,328,1319,774,629,5672,778,190
2011-1-15,1711,889,780,342,1010,864,465,5079,874,138
2011-1-22,1647,764,736,376,910,892,457,5108,875,242
2011-1-29,1422,726,643,282,878,689,291,4422,1086,183
2011-2-5,1323,497,460,262,634,742,240,2872,908,161
2011-2-12,996,597,305,182,419,624,187,3022,604,141
2011-2-19,879,611,328,176,406,536,176,2998,622,194
2011-2-26,809,635,322,146,541,391,171,2573,608,140
2011-3-5,718,841,221,130,507,414,162,2430,448,109
2011-3-12,665,869,179,118,320,332,154,2556,695,116
2011-3-19,526,973,173,125,343,263,113,2482,1088,67
2011-3-26,383,659,138,37,257,310,131,2692,434,58
2011-4-2,408,673,134,33,266,311,185,2197,321,74
2011-4-9,450,720,209,35,265,362,210,1584,218,42
2011-4-16,513,717,258,44,247,363,151,1406,214,162
2011-4-23,503,679,298,46,263,231,149,1659,398,59
2011-4-30,550,608,244,72,375,283,105,1897,390,39
2011-5-7,678,508,334,84,284,419,84,2876,390,51
2011-5-14,556,459,278,125,231,340,65,3668,474,151
2011-5-21,370,694,228,74,207,271,53,3659,344,163
2011-5-28,323,692,243,124,188,218,57,4737,379,126
2011-6-4,1171,1273,444,128,277,285,64,8120,463,240
2011-6-11,1719,1154,526,123,399,402,100,9359,384,201
2011-6-18,2175,1728,483,81,419,507,136,6786,322,178
2011-6-25,3076,1034,561,107,499,439,152,5336,224,160
2011-7-2,3265,951,456,84,645,434,289,3980,156,78
2011-7-9,2801,1124,281,71,677,278,338,3261,188,144
2011-7-16,2823,478,151,89,713,265,316,2588,169,259
2011-7-23,2252,838,68,46,600,335,1827,2727,184,199
2011-7-30,1849,361,68,61,556,520,1108,2374,141,153
2011-8-6,1697,662,63,82,461,430,454,2654,133,126
2011-8-13,1255,445,49,79,384,468,312,2060,168,84
2011-8-20,992,301,23,80,273,345,210,1852,191,62
2011-8-27,748,243,55,104,227,380,220,1634,254,96
2011-9-3,725,157,49,116,186,381,215,1779,692,116
2011-9-10,728,229,30,169,256,349,192,2006,804,126
2011-9-17,604,257,29,129,266,544,160,2479,607,104
2011-9-24,523,189,17,117,340,517,123,2872,479,97
2011-10-1,561,248,39,122,519,477,150,2752,609,115
2011-10-8,550,263,72,183,730,420,168,2756,891,87
2011-10-15,602,149,94,163,701,513,179,2674,949,139
2011-10-22,541,196,151,149,845,581,127,2311,835,150
2011-10-29,619,112,207,172,1226,514,115,2435,686,209
2011-11-5,516,63,176,146,1050,640,181,1570,551,149
2011-11-12,538,60,233,137,847,526,205,1393,434,132
2011-11-19,516,27,77,95,760,456,186,1071,276,153
2011-11-26,418,19,47,47,601,392,146,925,304,114
2011-12-3,307,21,20,23,460,208,105,586,149,150
2011-12-10,273,50,33,36,408,114,84,506,62,51
2011-12-17,261,46,31,32,315,174,57,450,39,58
2011-12-24,218,34,41,7,194,98,27,394,13,61
2011-12-31,252,40,11,8,183,86,20,352,12,61
2012-1-7,208,107,43,6,234,103,44,430,8,35
2012-1-14,158,76,23,9,316,96,35,333,12,11
2012-1-21,175,30,33,7,208,81,40,334,2,14
2012-1-28,194,46,32,6,155,65,34,322,0,6
2012-2-4,174,84,20,5,150,64,30,264,3,11
2012-2-11,149,73,11,18,157,83,18,290,15,9
2012-2-18,160,78,10,13,178,63,32,259,6,13
2012-2-25,176,64,0,6,135,41,28,260,10,9
2012-3-3,166,74,14,7,149,71,12,246,19,8
2012-3-10,132,136,15,3,142,48,16,223,13,13
2012-3-17,146,134,8,0,109,46,19,192,19,7
2012-3-24,128,144,6,0,127,34,24,257,16,13
2012-3-31,125,196,14,4,106,24,19,316,14,15
2012-4-7,95,101,10,5,144,21,17,457,59,4
2012-4-14,129,183,8,3,158,14,27,780,46,8
2012-4-21,157,174,14,1,190,26,25,808,24,21
2012-4-28,169,182,8,40,177,40,17,1248,15,16
2012-5-5,161,389,9,19,229,61,28,1833,31,20
2012-5-12,244,503,6,21,147,71,33,1804,21,38
2012-5-19,413,568,3,17,175,147,27,2358,28,48
2012-5-26,424,561,13,21,174,132,23,2353,30,29
2012-6-2,365,457,15,16,234,135,40,1434,15,54
2012-6-9,372,417,14,28,237,147,19,1174,17,39
2012-6-16,394,423,8,14,156,92,21,1479,35,3
2012-6-23,434,335,1,19,142,68,33,1208,29,5
2012-6-30,290,283,11,14,91,72,26,760,85,4
2012-7-7,346,215,2,11,89,63,25,873,117,12
2012-7-14,455,171,0,17,72,92,26,670,64,13
2012-7-21,304,192,4,20,80,63,22,710,41,21
2012-7-28,311,206,12,29,60,71,73,475,75,20
2012-8-4,250,226,4,16,50,58,85,477,76,41
2012-8-11,211,217,14,11,49,83,36,523,82,56
2012-8-18,178,254,26,18,74,83,38,610,79,30
2012-8-25,177,231,23,12,81,96,44,573,127,31
2012-9-1,222,266,33,19,107,108,21,519,145,22
2012-9-8,249,280,42,8,112,170,46,823,94,82
2012-9-15,219,253,64,11,110,276,49,598,79,74
2012-9-22,223,227,90,13,145,243,41,596,104,74
2012-9-29,288,247,114,10,118,213,68,637,114,77
2012-10-6,333,325,143,22,136,284,70,628,136,63
2012-10-13,346,295,162,20,152,241,39,749,125,40
2012-10-20,344,290,203,34,118,249,38,1181,239,62
2012-10-27,306,287,173,23,167,244,30,1553,244,82
2012-11-3,310,309,103,61,215,197,41,1999,232,94
2012-11-10,277,443,133,65,216,197,50,1771,181,79
2012-11-17,304,389,123,65,470,320,40,1525,188,161
2012-11-24,344,494,139,69,562,344,33,1567,199,132
2012-12-1,309,408,130,51,501,267,35,1414,230,155
2012-12-8,274,362,138,58,461,272,45,1417,270,196
2012-12-15,340,321,194,38,471,241,41,1278,244,129
2012-12-22,300,289,162,67,362,168,44,913,249,91
2012-12-29,294,229,171,74,301,147,43,687,130,65
2013-1-5,443,309,211,54,396,134,49,636,98,61
2013-1-12,367,319,148,25,294,58,57,430,85,101
2013-1-19,264,206,72,17,222,28,53,450,64,30
2013-1-26,217,178,40,12,189,28,45,353,44,26
2013-2-2,303,223,40,11,217,16,51,300,26,45
2013-2-9,255,212,28,5,203,28,39,345,38,26
2013-2-16,215,171,13,2,228,29,36,367,17,9
2013-2-23,206,150,20,0,175,26,26,321,26,19
2013-3-2,215,144,32,0,145,35,13,325,12,12
2013-3-9,152,159,19,2,162,40,21,288,23,8
2013-3-16,129,188,24,2,135,36,15,209,6,2
2013-3-23,139,142,16,1,133,30,28,201,12,35
2013-3-30,142,94,16,3,113,21,30,202,7,48
2013-4-6,85,98,12,0,146,16,40,225,8,23
2013-4-13,109,99,12,0,182,9,53,194,10,16
2013-4-20,91,73,4,0,172,8,29,195,12,22
2013-4-27,113,87,8,0,170,8,23,192,8,15
2013-5-4,83,93,10,0,166,9,14,229,11,13
2013-5-11,96,85,18,0,127,1,29,300,8,23
2013-5-18,85,115,37,2,98,7,15,349,9,11
2013-5-25,94,116,38,2,86,8,9,426,9,16
2013-6-1,94,125,88,5,96,8,20,535,7,78
2013-6-8,118,109,61,7,99,5,10,616,15,70
2013-6-15,131,120,52,7,139,4,14,486,15,44
2013-6-22,165,120,43,11,164,4,21,437,3,45
2013-6-29,170,140,28,1,145,2,14,316,7,43
2013-7-6,266,160,25,1,168,2,15,423,4,19
2013-7-13,324,177,14,1,156,22,14,444,8,29
2013-7-20,342,211,40,0,150,54,36,443,5,16
2013-7-27,294,231,40,5,169,19,69,327,11,17
2013-8-3,302,211,29,1,166,7,59,431,12,9
2013-8-10,215,223,45,2,131,5,49,532,5,12
2013-8-17,254,237,50,7,105,7,82,414,2,2
2013-8-24,239,313,44,1,87,7,116,416,9,14
2013-8-31,301,246,79,1,63,4,60,332,6,8
2013-9-7,261,286,144,4,66,4,59,359,12,15
2013-9-14,366,307,232,8,125,6,54,423,3,10
2013-9-21,327,276,327,7,112,6,47,373,6,19
2013-9-28,348,280,223,18,117,21,41,328,8,16
2013-10-5,410,307,150,2,118,38,57,297,12,43
2013-10-12,373,298,139,2,144,62,71,379,17,45
2013-10-19,355,321,182,10,168,101,71,406,26,63
2013-10-26,379,255,213,12,166,57,69,370,47,50
2013-11-2,363,240,243,13,195,47,70,422,39,62
2013-11-9,375,217,230,16,208,60,76,461,59,82
2013-11-16,288,226,204,14,165,65,102,624,56,68
2013-11-23,241,243,174,13,127,31,81,422,71,54
2013-11-30,208,242,129,17,127,40,55,388,67,38
2013-12-7,183,184,104,35,101,18,49,228,50,31
2013-12-14,120,117,99,13,71,14,38,117,39,33
2013-12-21,104,107,60,8,62,4,19,125,41,23
2013-12-28,82,100,29,4,43,11,17,118,54,12
2014-1-4,85,76,30,0,46,8,17,108,57,16
2014-1-11,94,69,23,3,61,2,15,58,25,2
2014-1-18,91,52,15,1,42,10,7,50,15,9
2014-1-25,66,65,13,1,47,5,13,49,14,1
2014-2-1,79,57,25,2,34,5,5,94,15,9
2014-2-8,96,68,19,8,28,0,14,90,18,4
2014-2-15,83,82,16,5,36,2,5,97,21,7
2014-2-22,79,65,10,2,45,0,10,62,33,4
2014-3-1,50,65,4,4,23,1,4,49,19,0
2014-3-8,51,50,7,2,21,0,2,28,20,3
2014-3-15,47,74,7,1,17,0,1,38,13,0
2014-3-22,57,83,4,0,25,1,1,40,3,0
2014-3-29,53,78,6,0,22,0,3,24,6,0
2014-4-5,61,64,5,0,30,6,3,22,11,6
2014-4-12,53,56,11,0,43,0,2,24,8,0
2014-4-19,54,59,2,0,29,0,0,48,7,3
2014-4-26,68,63,0,1,27,0,2,37,14,2
2014-5-3,41,74,2,0,23,0,0,32,2,1
2014-5-10,51,55,2,0,17,0,3,19,4,0
2014-5-17,67,63,5,0,23,2,3,53,2,0
2014-5-24,79,67,2,0,17,0,1,41,2,0
2014-5-31,102,57,1,0,20,0,0,32,1,1
2014-6-7,68,52,0,0,21,0,3,62,2,1
2014-6-14,94,54,2,0,16,0,1,33,1,0
2014-6-21,125,23,3,0,20,0,1,25,0,0
2014-6-28,160,37,1,0,24,0,1,72,0,0
2014-7-5,150,44,1,0,18,0,1,33,0,0
2014-7-12,182,50,0,0,29,0,2,26,0,0
2014-7-19,129,45,0,0,24,1,2,25,1,2
2014-7-26,127,49,0,0,23,3,0,27,0,0
2014-8-2,97,45,0,0,31,7,0,16,0,1
2014-8-9,93,43,0,0,23,11,2,16,1,2
2014-8-16,96,42,0,0,31,18,6,37,2,3
2014-8-23,103,45,1,0,22,16,6,53,0,2
2014-8-30,87,50,1,0,59,15,12,15,3,8
2014-9-6,87,49,0,0,57,14,8,60,3,0
2014-9-13,133,75,0,0,57,41,11,94,1,0
2014-9-20,107,84,1,0,53,43,15,153,3,2
2014-9-27,103,200,1,0,58,79,11,163,1,1
2014-10-4,148,205,2,4,82,63,7,228,0,0
2014-10-11,197,107,3,2,82,50,16,418,0,4
2014-10-18,104,77,5,15,75,42,11,719,6,5
2014-10-25,154,93,18,22,72,13,7,838,21,8
2014-11-1,171,67,19,54,54,21,8,979,34,27
2014-11-8,124,134,42,30,70,28,17,1399,65,27
2014-11-15,127,115,65,40,159,21,33,1009,74,28
2014-11-22,177,177,82,16,224,14,67,920,97,24
2014-11-29,215,133,89,16,254,1,60,628,58,62
2014-12-6,149,78,78,14,196,15,64,637,60,18
2014-12-13,125,88,60,16,178,15,75,1255,72,16
2014-12-20,101,51,52,18,231,12,69,775,74,9
2014-12-27,92,58,44,10,155,12,30,482,62,5
2015-1-3,111,65,27,10,156,17,43,447,100,25
2015-1-10,102,58,23,8,165,18,59,366,88,56
2015-1-17,85,58,18,19,119,8,39,305,75,19
2015-1-24,102,63,26,16,111,10,38,426,67,23
2015-1-31,79,61,11,6,117,15,30,838,76,51
2015-2-7,92,89,3,11,144,34,24,575,39,23
2015-2-14,72,77,10,9,141,23,34,668,30,28
2015-2-21,83,99,6,18,145,6,10,586,12,39
2015-2-28,68,82,9,21,173,7,11,585,9,20
2015-3-7,122,85,7,23,120,16,20,386,6,12
2015-3-14,75,90,14,14,94,16,7,343,17,15
2015-3-21,62,97,5,8,59,29,7,328,12,12
2015-3-28,63,85,7,12,74,16,10,388,13,5
2015-4-4,51,75,17,75,56,1,9,452,17,10
2015-4-11,43,66,22,22,84,1,10,518,15,31
2015-4-18,42,63,32,9,53,2,22,372,36,31
2015-4-25,20,75,16,15,44,6,43,363,58,49
2015-5-2,15,76,20,13,29,2,55,335,35,17
2015-5-9,14,52,10,5,33,1,48,224,46,7
2015-5-16,13,63,16,3,27,2,26,217,19,4
2015-5-23,24,38,15,12,38,2,29,192,13,2
2015-5-30,17,52,4,7,15,2,19,183,9,7
2015-6-6,26,56,16,8,64,0,23,183,11,4
2015-6-13,58,67,17,6,80,1,35,146,4,3
2015-6-20,85,53,7,4,88,7,15,155,4,3
2015-6-27,65,77,24,3,72,3,8,172,3,6
2015-7-4,63,80,1,3,66,4,3,163,0,6
2015-7-11,44,154,4,2,51,1,18,179,8,4
2015-7-18,37,152,20,0,58,1,11,163,7,8
2015-7-25,52,121,116,2,42,1,12,176,5,3
2015-8-1,99,128,58,0,36,1,6,128,3,10
2015-8-8,58,89,42,0,30,1,18,132,2,0
2015-8-15,62,157,22,0,41,4,7,156,0,6
2015-8-22,67,130,17,2,28,4,16,156,5,5
2015-8-29,81,129,43,0,11,21,5,153,13,5
2015-9-5,57,82,43,4,18,22,5,171,5,6
2015-9-12,114,77,34,1,28,21,8,205,13,13
2015-9-19,169,74,20,1,21,9,12,194,4,31
2015-9-26,118,75,18,0,21,6,5,234,13,15
2015-10-3,147,69,31,3,17,0,13,273,12,105
2015-10-10,169,61,14,0,11,3,15,227,20,0
2015-10-17,166,47,17,1,14,5,33,203,18,2
2015-10-24,154,89,14,0,30,3,18,303,29,56
2015-10-31,159,60,21,0,91,1,51,272,26,45
2015-11-7,217,53,49,4,95,2,183,287,113,61
2015-11-14,214,88,52,9,150,1,167,284,187,106
2015-11-21,282,106,43,13,179,6,147,269,130,130
2015-11-28,240,76,42,20,162,3,142,335,50,112
2015-12-5,277,72,34,7,202,6,123,357,59,96
2015-12-12,251,96,37,8,231,6,130,351,70,72
2015-12-19,171,84,32,14,207,5,84,560,53,76
2015-12-26,154,100,50,24,202,13,67,504,67,54
2016-1-2,124,122,87,49,302,11,49,506,54,59
2016-1-9,146,165,190,8,409,14,55,220,67,34
2016-1-16,130,162,252,10,309,16,96,204,42,51
2016-1-23,101,141,227,23,291,21,59,191,46,29
2016-1-30,128,106,234,32,247,32,69,170,45,33
2016-2-6,108,83,187,6,189,65,59,135,26,32
2016-2-13,117,60,153,17,150,29,74,142,39,22
2016-2-20,97,68,144,29,170,56,64,133,34,37
2016-2-27,88,71,123,25,116,48,64,125,16,15
2016-3-5,116,76,158,16,119,42,47,148,31,17
2016-3-12,80,61,138,15,141,40,36,183,23,19
2016-3-19,86,81,109,22,174,28,66,116,25,17
2016-3-26,60,79,87,9,173,30,66,101,16,16
2016-4-2,57,86,78,16,141,29,55,129,28,11
2016-4-9,59,87,118,46,110,40,29,159,18,10
2016-4-16,62,87,87,19,100,32,53,118,10,7
2016-4-23,74,86,97,5,74,24,26,143,35,14
2016-4-30,60,108,118,5,83,16,32,207,12,16
2016-5-7,59,161,141,14,65,11,30,280,41,21
2016-5-14,32,158,126,10,64,17,14,263,17,11
2016-5-21,64,229,135,19,85,9,26,269,43,13
2016-5-28,30,198,69,9,61,11,12,228,22,15
2016-6-4,51,332,111,5,57,14,11,262,29,13
2016-6-11,68,349,83,6,42,38,15,262,26,13
2016-6-18,100,286,100,3,59,25,10,201,13,7
2016-6-25,141,237,113,4,81,4,17,213,9,8
2016-7-2,137,271,38,0,74,11,7,142,15,8
2016-7-9,119,205,38,5,65,17,1,125,10,8
2016-7-16,122,165,46,17,57,8,18,167,9,11
2016-7-23,166,150,115,21,44,14,16,376,24,67
2016-7-30,164,134,85,32,68,17,9,232,27,33
2016-8-6,191,135,67,9,88,9,4,215,22,14
2016-8-13,259,99,85,15,92,18,13,220,14,9
2016-8-20,245,105,69,30,97,14,4,202,10,4
2016-8-27,140,94,91,66,98,16,4,199,9,7
2016-9-3,124,72,58,23,106,8,10,180,10,1
2016-9-10,158,99,32,2,83,0,97,158,4,2
2016-9-17,113,103,24,4,86,14,14,159,2,2
2016-9-24,115,45,15,7,80,3,16,78,6,11
2016-10-1,8,108,9,1,48,0,14,87,0,19
2016-10-8,133,97,128,4,50,6,22,278,128,8
2016-10-15,165,105,313,4,61,3,37,503,508,24
2016-10-22,134,105,249,4,54,3,16,458,498,20
2016-10-29,173,39,349,11,76,5,18,148,263,25
2016-11-5,162,7,305,8,70,28,27,331,164,11
2016-11-12,152,36,272,46,95,16,13,336,195,14
2016-11-19,120,49,264,27,110,19,19,271,173,14
2016-11-26,129,35,164,8,125,38,22,224,146,7
2016-12-3,101,45,113,21,90,21,29,95,172,11
2016-12-10,91,28,77,9,144,26,32,309,109,4
2016-12-17,100,43,14,26,109,41,37,304,96,1
2016-12-24,104,29,40,15,81,27,41,129,8,6
2016-12-31,87,3,10,10,78,0,6,81,37,3
2017-1-7,132,30,0,10,88,24,57,0,56,5
2017-1-14,100,21,25,28,70,10,33,130,31,2
2017-1-21,65,25,11,5,57,15,47,175,22,0
2017-1-28,56,31,6,29,35,15,15,208,40,0
2017-2-4,46,28,13,12,17,0,15,33,4,0
2017-2-11,42,33,13,31,17,11,23,105,20,2
2017-2-18,47,38,5,25,24,8,14,212,13,0
2017-2-25,9,69,4,18,22,7,7,80,3,0
2017-3-4,25,55,5,2,19,4,8,326,22,4
2017-3-11,36,70,4,6,7,2,5,191,6,1
2017-3-18,22,78,8,5,18,1,6,242,0,0
2017-3-25,35,93,1,15,19,0,8,230,16,1
2017-4-1,37,45,5,10,22,7,4,261,8,6
2017-4-8,44,65,1,6,22,7,4,196,4,34
2017-4-15,51,36,2,4,25,1,0,127,2,12
2017-4-29,16,63,1,1,8,3,7,184,0,25
2017-5-6,28,65,1,0,11,4,2,428,1,7
2017-5-13,20,67,1,1,8,2,3,345,2,14
2017-5-20,33,48,1,1,12,5,1,251,0,11
2017-5-27,28,56,1,0,15,8,0,185,0,29
2017-6-3,39,54,1,1,8,7,0,228,2,0
2017-6-10,18,53,0,0,12,9,0,72,0,9
2017-6-17,17,45,0,0,11,5,0,96,0,9
2017-6-24,21,5,0,0,4,0,1,72,5,9
2017-7-1,28,60,0,0,7,2,1,73,14,2
2017-7-8,25,50,0,0,4,0,0,53,4,1
2017-7-15,27,67,0,0,11,0,0,47,2,9
2017-7-22,29,72,1,0,8,0,0,92,6,7
2017-7-29,54,62,0,0,15,0,0,64,15,4
2017-8-5,75,65,0,0,5,0,0,69,3,1
2017-8-12,88,61,1,1,12,0,0,77,12,0
2017-8-19,110,66,1,0,4,0,1,77,9,3
2017-8-26,140,49,0,0,5,0,0,44,13,0
2017-9-2,127,32,0,0,6,0,0,47,35,2
2017-9-9,188,37,0,0,8,0,1,51,11,1
2017-9-16,189,63,0,0,13,0,1,43,32,1
2017-9-23,204,46,0,0,4,0,3,43,16,0
2017-9-30,248,43,0,0,9,0,0,39,9,4
2017-10-7,195,7,0,0,4,0,1,30,7,1
2017-10-14,170,73,0,0,16,0,1,41,5,0
2017-10-21,170,73,0,0,16,0,1,41,5,0
2017-10-28,131,37,0,0,11,1,8,34,4,0
2017-11-4,135,44,0,0,8,0,20,38,0,0
2017-11-11,7,22,0,0,8,1,21,57,3,0
2017-11-18,90,52,0,0,15,0,31,29,2,0
2017-11-25,107,54,1,0,13,0,51,38,0,0
2017-12-2,98,42,0,0,33,0,53,48,0,1
2017-12-9,87,39,0,0,10,0,18,45,4,1
2017-12-16,93,49,0,0,4,0,33,30,4,0
2017-12-23,61,22,0,0,8,1,20,32,1,0
2017-12-30,58,8,1,0,15,0,13,43,0,0
2018-1-6,64,22,0,0,5,0,24,24,22,1
2018-1-13,27,26,0,0,10,0,17,22,1,1
2018-1-20,17,14,0,0,10,0,10,29,0,1
2018-2-3,10,9,0,0,24,0,18,27,0,0
2018-2-10,29,8,0,0,10,0,8,23,2,0
2018-2-17,11,7,0,0,8,0,11,20,0,1
2018-2-24,18,13,0,0,3,0,16,29,0,0
2018-3-3,12,3,0,0,1,0,10,20,1,0
2018-3-10,7,4,0,0,1,0,8,41,0,0
2018-3-17,8,15,0,0,6,0,6,57,0,1
2018-3-24,7,19,0,0,3,2,6,32,0,0
2018-3-31,16,21,0,0,10,2,0,72,0,0
2018-4-7,19,18,0,0,10,0,8,34,0,1
2018-4-14,7,22,0,0,26,0,9,35,0,0
2018-4-21,14,16,0,0,33,0,12,28,1,2
2018-4-28,30,42,0,0,23,0,10,10,0,1
2018-5-5,39,38,0,0,25,0,27,27,3,0
2018-5-12,55,64,0,0,17,1,32,19,1,0
2018-5-19,46,63,0,0,6,0,18,15,1,0
2018-5-26,67,75,0,0,6,0,4,14,0,0
2018-6-2,70,59,0,0,7,0,14,18,2,0
2018-6-9,71,65,0,0,8,1,7,21,0,0
2018-6-16,51,40,1,0,5,0,2,42,0,0
2018-6-23,42,29,1,0,3,0,6,46,0,0
2018-6-30,30,25,1,0,5,0,2,11,0,0
2018-7-7,18,16,0,0,1,1,1,5,0,0
2018-7-14,25,8,0,0,2,0,5,3,0,0
